case_id,start_time,end_time,(case)_description,Variant,Variant_index,lifecycle_transition,Activity,defectFixed,defectType,numberRepairs,Resource,Role,phoneType,Cost
1004,1970-01-22T11:40:00,1970-01-22T11:51:00,Simulated process instance, Variant 12,12, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1004,1970-01-22T11:51:00,1970-01-22T12:00:00,Simulated process instance, Variant 12,12, complete, Test Repair,TRUE,,1,Tester5,Tester5,,
1004,1970-01-22T12:10:00,1970-01-22T12:10:00,Simulated process instance, Variant 12,12, complete, Inform User,,,,System,System,,
1005,1970-01-22T01:31:00,1970-01-22T01:31:00,Simulated process instance, Variant 12,12, complete, Register,,,,System,System,,
1005,1970-01-22T01:31:00,1970-01-22T01:40:00,Simulated process instance, Variant 12,12, complete, Analyze Defect,,3,,Tester5,Tester5,T2,
1005,1970-01-22T01:47:00,1970-01-22T02:01:00,Simulated process instance, Variant 12,12, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1005,1970-01-22T02:01:00,1970-01-22T02:11:00,Simulated process instance, Variant 12,12, complete, Test Repair,TRUE,,1,Tester6,Tester6,,
1005,1970-01-22T02:16:00,1970-01-22T02:16:00,Simulated process instance, Variant 12,12, complete, Inform User,,,,System,System,,
1006,1970-01-22T14:34:00,1970-01-22T14:34:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1006,1970-01-22T14:34:00,1970-01-22T14:40:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,7,,Tester3,Tester3,T3,
1006,1970-01-22T14:54:00,1970-01-22T15:34:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1006,1970-01-22T15:27:00,1970-01-22T15:27:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1006,1970-01-22T15:34:00,1970-01-22T15:44:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester5,Tester5,,
1007,1970-01-21T19:27:00,1970-01-21T19:27:00,Simulated process instance, Variant 29,29, complete, Register,,,,System,System,,
1007,1970-01-21T19:27:00,1970-01-21T19:33:00,Simulated process instance, Variant 29,29, complete, Analyze Defect,,2,,Tester6,Tester6,T1,
1007,1970-01-21T19:51:00,1970-01-21T19:51:00,Simulated process instance, Variant 29,29, complete, Inform User,,,,System,System,,
1007,1970-01-21T19:54:00,1970-01-21T20:14:00,Simulated process instance, Variant 29,29, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1007,1970-01-21T20:14:00,1970-01-21T20:19:00,Simulated process instance, Variant 29,29, complete, Test Repair,TRUE,,1,Tester3,Tester3,,
1008,1970-01-22T04:25:00,1970-01-22T04:25:00,Simulated process instance, Variant 46,46, complete, Register,,,,System,System,,
1008,1970-01-22T04:25:00,1970-01-22T04:32:00,Simulated process instance, Variant 46,46, complete, Analyze Defect,,2,,Tester5,Tester5,T3,
1008,1970-01-22T04:56:00,1970-01-22T05:02:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1008,1970-01-22T05:00:00,1970-01-22T05:00:00,Simulated process instance, Variant 46,46, complete, Inform User,,,,System,System,,
1008,1970-01-22T05:02:00,1970-01-22T05:07:00,Simulated process instance, Variant 46,46, complete, Test Repair,FALSE,,1,Tester1,Tester1,,
1008,1970-01-22T05:14:00,1970-01-22T05:14:00,Simulated process instance, Variant 46,46, complete, Restart Repair,,,,System,System,,
1008,1970-01-22T05:14:00,1970-01-22T05:21:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1008,1970-01-22T05:21:00,1970-01-22T05:30:00,Simulated process instance, Variant 46,46, complete, Test Repair,FALSE,,2,Tester6,Tester6,,
1008,1970-01-22T05:35:00,1970-01-22T05:35:00,Simulated process instance, Variant 46,46, complete, Restart Repair,,,,System,System,,
1008,1970-01-22T05:35:00,1970-01-22T05:42:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1008,1970-01-22T05:42:00,1970-01-22T05:47:00,Simulated process instance, Variant 46,46, complete, Test Repair,TRUE,,3,Tester2,Tester2,,
1009,1970-01-21T20:59:00,1970-01-21T20:59:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1009,1970-01-21T20:59:00,1970-01-21T21:04:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,7,,Tester1,Tester1,T2,
1009,1970-01-21T21:17:00,1970-01-21T21:29:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC2,SolverC2,,
1009,1970-01-21T21:29:00,1970-01-21T21:36:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester4,Tester4,,
1009,1970-01-21T21:46:00,1970-01-21T21:46:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
101,1970-01-04T04:00:00,1970-01-04T04:00:00,Simulated process instance, Variant 4,4, complete, Register,,,,System,System,,
101,1970-01-04T04:00:00,1970-01-04T04:05:00,Simulated process instance, Variant 4,4, complete, Analyze Defect,,8,,Tester2,Tester2,T2,
101,1970-01-04T04:31:00,1970-01-04T04:31:00,Simulated process instance, Variant 4,4, complete, Inform User,,,,System,System,,
101,1970-01-04T04:33:00,1970-01-04T05:14:00,Simulated process instance, Variant 4,4, complete, Repair (Complex),,,,SolverC3,SolverC3,,
101,1970-01-04T05:14:00,1970-01-04T05:24:00,Simulated process instance, Variant 4,4, complete, Test Repair,TRUE,,0,Tester6,Tester6,,
101,1970-01-04T05:30:00,1970-01-04T05:30:00,Simulated process instance, Variant 4,4, complete, Archive Repair,TRUE,,0,System,System,,
1010,1970-01-22T13:08:00,1970-01-22T13:08:00,Simulated process instance, Variant 33,33, complete, Register,,,,System,System,,
1010,1970-01-22T13:08:00,1970-01-22T13:13:00,Simulated process instance, Variant 33,33, complete, Analyze Defect,,2,,Tester1,Tester1,T2,
1010,1970-01-22T13:30:00,1970-01-22T13:37:00,Simulated process instance, Variant 33,33, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1010,1970-01-22T13:37:00,1970-01-22T13:47:00,Simulated process instance, Variant 33,33, complete, Test Repair,FALSE,,1,Tester6,Tester6,,
1010,1970-01-22T13:53:00,1970-01-22T13:53:00,Simulated process instance, Variant 33,33, complete, Restart Repair,,,,System,System,,
1010,1970-01-22T13:53:00,1970-01-22T14:05:00,Simulated process instance, Variant 33,33, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1010,1970-01-22T13:56:00,1970-01-22T13:56:00,Simulated process instance, Variant 33,33, complete, Inform User,,,,System,System,,
1010,1970-01-22T14:05:00,1970-01-22T14:10:00,Simulated process instance, Variant 33,33, complete, Test Repair,TRUE,,2,Tester1,Tester1,,
1011,1970-01-21T19:30:00,1970-01-21T19:30:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1011,1970-01-21T19:30:00,1970-01-21T19:39:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,9,,Tester5,Tester5,T2,
1011,1970-01-21T19:43:00,1970-01-21T20:33:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1011,1970-01-21T20:23:00,1970-01-21T20:23:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1011,1970-01-21T20:33:00,1970-01-21T20:38:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester5,Tester5,,
1012,1970-01-22T01:53:00,1970-01-22T01:53:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1012,1970-01-22T01:53:00,1970-01-22T01:58:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,8,,Tester6,Tester6,T2,
1012,1970-01-22T02:17:00,1970-01-22T02:32:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC1,SolverC1,,
1012,1970-01-22T02:32:00,1970-01-22T02:38:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester6,Tester6,,
1012,1970-01-22T02:48:00,1970-01-22T02:48:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
1013,1970-01-22T03:52:00,1970-01-22T03:52:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1013,1970-01-22T03:52:00,1970-01-22T03:58:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,9,,Tester6,Tester6,T3,
1013,1970-01-22T04:24:00,1970-01-22T05:08:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1013,1970-01-22T04:40:00,1970-01-22T04:40:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1013,1970-01-22T05:08:00,1970-01-22T05:18:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester2,Tester2,,
1014,1970-01-23T03:31:00,1970-01-23T03:31:00,Simulated process instance, Variant 12,12, complete, Register,,,,System,System,,
1014,1970-01-23T03:31:00,1970-01-23T03:40:00,Simulated process instance, Variant 12,12, complete, Analyze Defect,,3,,Tester4,Tester4,T1,
1014,1970-01-23T03:41:00,1970-01-23T03:55:00,Simulated process instance, Variant 12,12, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1014,1970-01-23T03:55:00,1970-01-23T04:03:00,Simulated process instance, Variant 12,12, complete, Test Repair,TRUE,,1,Tester6,Tester6,,
1014,1970-01-23T03:58:00,1970-01-23T03:58:00,Simulated process instance, Variant 12,12, complete, Inform User,,,,System,System,,
1015,1970-01-22T08:15:00,1970-01-22T08:15:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1015,1970-01-22T08:15:00,1970-01-22T08:24:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,10,,Tester1,Tester1,T1,
1015,1970-01-22T08:37:00,1970-01-22T08:47:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC1,SolverC1,,
1015,1970-01-22T08:47:00,1970-01-22T08:54:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester2,Tester2,,
1015,1970-01-22T08:55:00,1970-01-22T08:55:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
1016,1970-01-23T01:32:00,1970-01-23T01:32:00,Simulated process instance, Variant 46,46, complete, Register,,,,System,System,,
1016,1970-01-23T01:32:00,1970-01-23T01:42:00,Simulated process instance, Variant 46,46, complete, Analyze Defect,,5,,Tester4,Tester4,T3,
1016,1970-01-23T02:07:00,1970-01-23T02:22:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1016,1970-01-23T02:21:00,1970-01-23T02:21:00,Simulated process instance, Variant 46,46, complete, Inform User,,,,System,System,,
1016,1970-01-23T02:22:00,1970-01-23T02:29:00,Simulated process instance, Variant 46,46, complete, Test Repair,FALSE,,1,Tester4,Tester4,,
1016,1970-01-23T02:39:00,1970-01-23T02:39:00,Simulated process instance, Variant 46,46, complete, Restart Repair,,,,System,System,,
1016,1970-01-23T02:39:00,1970-01-23T02:46:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1016,1970-01-23T02:46:00,1970-01-23T02:51:00,Simulated process instance, Variant 46,46, complete, Test Repair,FALSE,,2,Tester6,Tester6,,
1016,1970-01-23T03:01:00,1970-01-23T03:01:00,Simulated process instance, Variant 46,46, complete, Restart Repair,,,,System,System,,
1016,1970-01-23T03:01:00,1970-01-23T03:14:00,Simulated process instance, Variant 46,46, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1016,1970-01-23T03:14:00,1970-01-23T03:19:00,Simulated process instance, Variant 46,46, complete, Test Repair,TRUE,,3,Tester3,Tester3,,
1017,1970-01-22T08:48:00,1970-01-22T08:48:00,Simulated process instance, Variant 21,21, complete, Register,,,,System,System,,
1017,1970-01-22T08:48:00,1970-01-22T08:58:00,Simulated process instance, Variant 21,21, complete, Analyze Defect,,1,,Tester1,Tester1,T3,
1017,1970-01-22T09:28:00,1970-01-22T09:41:00,Simulated process instance, Variant 21,21, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1017,1970-01-22T09:39:00,1970-01-22T09:39:00,Simulated process instance, Variant 21,21, complete, Inform User,,,,System,System,,
1017,1970-01-22T09:41:00,1970-01-22T09:50:00,Simulated process instance, Variant 21,21, complete, Test Repair,TRUE,,1,Tester3,Tester3,,
1018,1970-01-23T01:16:00,1970-01-23T01:16:00,Simulated process instance, Variant 26,26, complete, Register,,,,System,System,,
1018,1970-01-23T01:16:00,1970-01-23T01:21:00,Simulated process instance, Variant 26,26, complete, Analyze Defect,,10,,Tester1,Tester1,T2,
1018,1970-01-23T01:36:00,1970-01-23T01:36:00,Simulated process instance, Variant 26,26, complete, Inform User,,,,System,System,,
1018,1970-01-23T01:46:00,1970-01-23T02:04:00,Simulated process instance, Variant 26,26, complete, Repair (Complex),,,,SolverC2,SolverC2,,
1018,1970-01-23T02:04:00,1970-01-23T02:10:00,Simulated process instance, Variant 26,26, complete, Test Repair,TRUE,,0,Tester1,Tester1,,
1019,1970-01-23T01:16:00,1970-01-23T01:16:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1019,1970-01-23T01:16:00,1970-01-23T01:22:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,7,,Tester4,Tester4,T2,
1019,1970-01-23T01:23:00,1970-01-23T02:03:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1019,1970-01-23T02:03:00,1970-01-23T02:12:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester6,Tester6,,
1019,1970-01-23T02:08:00,1970-01-23T02:08:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
102,1970-01-03T17:19:00,1970-01-03T17:19:00,Simulated process instance, Variant 1,1, complete, Register,,,,System,System,,
102,1970-01-03T17:19:00,1970-01-03T17:25:00,Simulated process instance, Variant 1,1, complete, Analyze Defect,,9,,Tester1,Tester1,T2,
102,1970-01-03T17:50:00,1970-01-03T18:32:00,Simulated process instance, Variant 1,1, complete, Repair (Complex),,,,SolverC3,SolverC3,,
102,1970-01-03T18:12:00,1970-01-03T18:12:00,Simulated process instance, Variant 1,1, complete, Inform User,,,,System,System,,
102,1970-01-03T18:32:00,1970-01-03T18:41:00,Simulated process instance, Variant 1,1, complete, Test Repair,TRUE,,0,Tester6,Tester6,,
102,1970-01-03T18:49:00,1970-01-03T18:49:00,Simulated process instance, Variant 1,1, complete, Archive Repair,TRUE,,0,System,System,,
1020,1970-01-21T23:47:00,1970-01-21T23:47:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1020,1970-01-21T23:47:00,1970-01-21T23:53:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,10,,Tester2,Tester2,T2,
1020,1970-01-22T00:02:00,1970-01-22T00:46:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1020,1970-01-22T00:21:00,1970-01-22T00:21:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1020,1970-01-22T00:46:00,1970-01-22T00:53:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester5,Tester5,,
1021,1970-01-23T01:46:00,1970-01-23T01:46:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1021,1970-01-23T01:46:00,1970-01-23T01:55:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,9,,Tester6,Tester6,T1,
1021,1970-01-23T02:20:00,1970-01-23T02:34:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC2,SolverC2,,
1021,1970-01-23T02:34:00,1970-01-23T02:42:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester2,Tester2,,
1021,1970-01-23T02:38:00,1970-01-23T02:38:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
1022,1970-01-23T01:21:00,1970-01-23T01:21:00,Simulated process instance, Variant 21,21, complete, Register,,,,System,System,,
1022,1970-01-23T01:21:00,1970-01-23T01:26:00,Simulated process instance, Variant 21,21, complete, Analyze Defect,,2,,Tester5,Tester5,T3,
1022,1970-01-23T01:49:00,1970-01-23T02:07:00,Simulated process instance, Variant 21,21, complete, Repair (Simple),,,,SolverS3,SolverS3,,
1022,1970-01-23T01:50:00,1970-01-23T01:50:00,Simulated process instance, Variant 21,21, complete, Inform User,,,,System,System,,
1022,1970-01-23T02:07:00,1970-01-23T02:13:00,Simulated process instance, Variant 21,21, complete, Test Repair,TRUE,,1,Tester2,Tester2,,
1023,1970-01-22T12:38:00,1970-01-22T12:38:00,Simulated process instance, Variant 13,13, complete, Register,,,,System,System,,
1023,1970-01-22T12:38:00,1970-01-22T12:47:00,Simulated process instance, Variant 13,13, complete, Analyze Defect,,7,,Tester1,Tester1,T3,
1023,1970-01-22T12:58:00,1970-01-22T13:12:00,Simulated process instance, Variant 13,13, complete, Repair (Complex),,,,SolverC1,SolverC1,,
1023,1970-01-22T13:12:00,1970-01-22T13:18:00,Simulated process instance, Variant 13,13, complete, Test Repair,TRUE,,0,Tester2,Tester2,,
1023,1970-01-22T13:28:00,1970-01-22T13:28:00,Simulated process instance, Variant 13,13, complete, Inform User,,,,System,System,,
1024,1970-01-23T05:32:00,1970-01-23T05:32:00,Simulated process instance, Variant 49,49, complete, Register,,,,System,System,,
1024,1970-01-23T05:32:00,1970-01-23T05:37:00,Simulated process instance, Variant 49,49, complete, Analyze Defect,,5,,Tester5,Tester5,T2,
1024,1970-01-23T05:53:00,1970-01-23T06:00:00,Simulated process instance, Variant 49,49, complete, Repair (Simple),,,,SolverS1,SolverS1,,
1024,1970-01-23T06:00:00,1970-01-23T06:07:00,Simulated process instance, Variant 49,49, complete, Test Repair,FALSE,,1,Tester5,Tester5,,
1024,1970-01-23T06:12:00,1970-01-23T06:12:00,Simulated process instance, Variant 49,49, complete, Restart Repair,,,,System,System,,
1024,1970-01-23T06:12:00,1970-01-23T06:22:00,Simulated process instance, Variant 49,49, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1024,1970-01-23T06:18:00,1970-01-23T06:18:00,Simulated process instance, Variant 49,49, complete, Inform User,,,,System,System,,
1024,1970-01-23T06:22:00,1970-01-23T06:29:00,Simulated process instance, Variant 49,49, complete, Test Repair,FALSE,,2,Tester1,Tester1,,
1024,1970-01-23T06:34:00,1970-01-23T06:34:00,Simulated process instance, Variant 49,49, complete, Restart Repair,,,,System,System,,
1024,1970-01-23T06:34:00,1970-01-23T06:48:00,Simulated process instance, Variant 49,49, complete, Repair (Complex),,,,SolverC2,SolverC2,,
1024,1970-01-23T06:48:00,1970-01-23T06:58:00,Simulated process instance, Variant 49,49, complete, Test Repair,TRUE,,2,Tester4,Tester4,,
1025,1970-01-21T23:17:00,1970-01-21T23:17:00,Simulated process instance, Variant 12,12, complete, Register,,,,System,System,,
1025,1970-01-21T23:17:00,1970-01-21T23:26:00,Simulated process instance, Variant 12,12, complete, Analyze Defect,,1,,Tester6,Tester6,T1,
1025,1970-01-21T23:40:00,1970-01-21T23:50:00,Simulated process instance, Variant 12,12, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1025,1970-01-21T23:50:00,1970-01-21T23:57:00,Simulated process instance, Variant 12,12, complete, Test Repair,TRUE,,1,Tester1,Tester1,,
1025,1970-01-22T00:13:00,1970-01-22T00:13:00,Simulated process instance, Variant 12,12, complete, Inform User,,,,System,System,,
1026,1970-01-22T05:24:00,1970-01-22T05:24:00,Simulated process instance, Variant 10,10, complete, Register,,,,System,System,,
1026,1970-01-22T05:24:00,1970-01-22T05:29:00,Simulated process instance, Variant 10,10, complete, Analyze Defect,,9,,Tester3,Tester3,T2,
1026,1970-01-22T05:38:00,1970-01-22T06:18:00,Simulated process instance, Variant 10,10, complete, Repair (Complex),,,,SolverC3,SolverC3,,
1026,1970-01-22T06:10:00,1970-01-22T06:10:00,Simulated process instance, Variant 10,10, complete, Inform User,,,,System,System,,
1026,1970-01-22T06:18:00,1970-01-22T06:25:00,Simulated process instance, Variant 10,10, complete, Test Repair,TRUE,,0,Tester3,Tester3,,
1027,1970-01-22T17:16:00,1970-01-22T17:16:00,Simulated process instance, Variant 21,21, complete, Register,,,,System,System,,
1027,1970-01-22T17:16:00,1970-01-22T17:24:00,Simulated process instance, Variant 21,21, complete, Analyze Defect,,1,,Tester1,Tester1,T3,
1027,1970-01-22T17:37:00,1970-01-22T17:46:00,Simulated process instance, Variant 21,21, complete, Repair (Simple),,,,SolverS2,SolverS2,,
1027,1970-01-22T17:39:00,1970-01-22T17:39:00,Simulated process instance, Variant 21,21, complete, Inform User,,,,System,System,,
1027,1970-01-22T17:46:00,1970-01-22T17:54:00,Simulated process instance, Variant 21,21, complete, Test Repair,TRUE,,1,Tester6,Tester6,,
1028,1970-01-22T10:18:00,1970-01-22T10:18:00,Simulated process instance, Variant 26,26, complete, Register,,,,System,System,,
1028,1970-01-22T10:18:00,1970-01-22T10:28:00,Simulated process instance, Variant 26,26, complete, Analyze Defect,,6,,Tester6,Tester6,T1,
1028,1970-01-22T10:44:00,1970-01-22T10:44:00,Simulated process instance, Variant 26,26, complete, Inform User,,,,System,System,,
